State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Telangana,RANGAREDDI,Onion,,Kharif,241,Hectare,2115,Tonnes,8.77593361
Telangana,RANGAREDDI,Onion,,Rabi,2194,Hectare,59363,Tonnes,27.05697356
Telangana,WARANGAL,Onion,,Kharif,4,Hectare,75,Tonnes,18.75
Telangana,WARANGAL,Onion,,Rabi,192,Hectare,6401,Tonnes,33.33854167
Telangana,WARANGAL,Onion,,Rabi,173,Hectare,4725,Tonnes,27.31213873
Telangana,WARANGAL,Onion,,Kharif,6,Hectare,85,Tonnes,14.16666667
Telangana,WARANGAL,Onion,,Rabi,301,Hectare,9074,Tonnes,30.1461794
Telangana,ADILABAD,Other Rabi pulses,,Rabi,12,Hectare,4,Tonnes,0.333333333
Telangana,ADILABAD,Other Rabi pulses,,Rabi,5,Hectare,1,Tonnes,0.2
Telangana,KARIMNAGAR,Other Rabi pulses,,Rabi,25,Hectare,30,Tonnes,1.2
Telangana,KARIMNAGAR,Other Rabi pulses,,Rabi,42,Hectare,84,Tonnes,2
Telangana,NIZAMABAD,Other Rabi pulses,,Rabi,442,Hectare,630,Tonnes,1.425339367
Telangana,NIZAMABAD,Other Rabi pulses,,Rabi,53,Hectare,53,Tonnes,1
Telangana,NIZAMABAD,Other Rabi pulses,,Rabi,49,Hectare,20,Tonnes,0.408163265
Telangana,ADILABAD,Other Kharif pulses,,Kharif,283,Hectare,74,Tonnes,0.261484099
Telangana,ADILABAD,Other Kharif pulses,,Kharif,96,Hectare,33,Tonnes,0.34375
Telangana,ADILABAD,Other Kharif pulses,,Kharif,29,Hectare,7,Tonnes,0.24137931
Telangana,KARIMNAGAR,Other Kharif pulses,,Kharif,8,Hectare,2,Tonnes,0.25
Telangana,KARIMNAGAR,Other Kharif pulses,,Kharif,11,Hectare,6,Tonnes,0.545454545
Telangana,KARIMNAGAR,Other Kharif pulses,,Kharif,17,Hectare,6,Tonnes,0.352941176
Telangana,MEDAK,Other Kharif pulses,,Kharif,55,Hectare,33,Tonnes,0.6
Telangana,MEDAK,Other Kharif pulses,,Kharif,39,Hectare,36,Tonnes,0.923076923
Telangana,MEDAK,Other Kharif pulses,,Kharif,54,Hectare,24,Tonnes,0.444444444
Telangana,KHAMMAM,other oilseeds,,Kharif,3494,Hectare,44021,Tonnes,12.5990269
Telangana,KHAMMAM,other oilseeds,,Kharif,3319,Hectare,89158,Tonnes,26.86291052
Telangana,KHAMMAM,other oilseeds,,Kharif,3739,Hectare,79947,Tonnes,21.3819203
Telangana,MEDAK,other oilseeds,,Kharif,32,Hectare,55,Tonnes,1.71875
Telangana,MEDAK,other oilseeds,,Kharif,36,Hectare,47,Tonnes,1.305555556
Telangana,NALGONDA,other oilseeds,,Kharif,119,Hectare,1499,Tonnes,12.59663866
Telangana,NALGONDA,other oilseeds,,Kharif,114,Hectare,3062,Tonnes,26.85964912
Telangana,NALGONDA,other oilseeds,,Kharif,155,Hectare,3314,Tonnes,21.38064516
Telangana,RANGAREDDI,other oilseeds,,Kharif,6,Hectare,2,Tonnes,0.333333333
Telangana,MAHBUBNAGAR,Potato,,Whole Year,2,Hectare,29,Tonnes,14.5
Telangana,MAHBUBNAGAR,Potato,,Rabi,2,Hectare,27,Tonnes,13.5
