State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,ANANTAPUR,Coconut,01-04-2003,Whole Year,839,Hectare,3285828,Nuts,3916.362336
Andhra Pradesh,CHITTOOR,Coconut,01-02-2001,Whole Year,4133,Hectare,14827800,Nuts,3587.660295
Andhra Pradesh,CHITTOOR,Coconut,01-03-2002,Whole Year,4296,Hectare,17209269,Nuts,4005.881983
Andhra Pradesh,CHITTOOR,Coconut,01-04-2003,Whole Year,4294,Hectare,16827552,Nuts,3918.852352
Andhra Pradesh,EAST GODAVARI,Coconut,01-02-2001,Whole Year,48515,Hectare,629772990,Nuts,12980.99536
Andhra Pradesh,EAST GODAVARI,Coconut,01-03-2002,Whole Year,49479,Hectare,685943720,Nuts,13863.3303
Andhra Pradesh,EAST GODAVARI,Coconut,01-04-2003,Whole Year,48854,Hectare,683171460,Nuts,13983.94113
Andhra Pradesh,GUNTUR,Coconut,01-02-2001,Whole Year,491,Hectare,5426352,Nuts,11051.6334
Andhra Pradesh,GUNTUR,Coconut,01-03-2002,Whole Year,399,Hectare,4488408,Nuts,11249.14286
Andhra Pradesh,GUNTUR,Coconut,01-04-2003,Whole Year,380,Hectare,4497480,Nuts,11835.47368
Andhra Pradesh,KADAPA,Coconut,01-02-2001,Whole Year,148,Hectare,530400,Nuts,3583.783784
Andhra Pradesh,KADAPA,Coconut,01-03-2002,Whole Year,155,Hectare,658350,Nuts,4247.419355
Andhra Pradesh,KADAPA,Coconut,01-04-2003,Whole Year,104,Hectare,406980,Nuts,3913.269231
Andhra Pradesh,KHAMMAM,Coconut,01-02-2001,Whole Year,1106,Hectare,11703240,Nuts,10581.59132
Andhra Pradesh,KHAMMAM,Coconut,01-03-2002,Whole Year,1083,Hectare,11850836,Nuts,10942.60018
Andhra Pradesh,KHAMMAM,Coconut,01-04-2003,Whole Year,1050,Hectare,11933140,Nuts,11364.89524
Andhra Pradesh,KRISHNA,Coconut,01-02-2001,Whole Year,1789,Hectare,19782864,Nuts,11058.05702
Andhra Pradesh,KRISHNA,Coconut,01-03-2002,Whole Year,1889,Hectare,21255984,Nuts,11252.50609
Andhra Pradesh,KRISHNA,Coconut,01-04-2003,Whole Year,1726,Hectare,20407920,Nuts,11823.82387
Andhra Pradesh,KURNOOL,Coconut,01-02-2001,Whole Year,110,Hectare,374400,Nuts,3403.636364
Andhra Pradesh,KURNOOL,Coconut,01-03-2002,Whole Year,100,Hectare,425733,Nuts,4257.33
Andhra Pradesh,KURNOOL,Coconut,01-04-2003,Whole Year,86,Hectare,342720,Nuts,3985.116279
Andhra Pradesh,MAHBUBNAGAR,Coconut,01-02-2001,Whole Year,10,Hectare,110200,Nuts,11020
Andhra Pradesh,MAHBUBNAGAR,Coconut,01-03-2002,Whole Year,11,Hectare,125708,Nuts,11428
Andhra Pradesh,MAHBUBNAGAR,Coconut,01-04-2003,Whole Year,12,Hectare,141360,Nuts,11780
Andhra Pradesh,MEDAK,Coconut,01-02-2001,Whole Year,2,Hectare,22040,Nuts,11020
Andhra Pradesh,MEDAK,Coconut,01-03-2002,Whole Year,1,Hectare,11428,Nuts,11428
Andhra Pradesh,NALGONDA,Coconut,01-02-2001,Whole Year,18,Hectare,187340,Nuts,10407.77778
Andhra Pradesh,NALGONDA,Coconut,01-03-2002,Whole Year,21,Hectare,228560,Nuts,10883.80952
Andhra Pradesh,NALGONDA,Coconut,01-04-2003,Whole Year,30,Hectare,341620,Nuts,11387.33333
Andhra Pradesh,PRAKASAM,Coconut,01-02-2001,Whole Year,202,Hectare,2195568,Nuts,10869.14851
Andhra Pradesh,PRAKASAM,Coconut,01-03-2002,Whole Year,202,Hectare,2267460,Nuts,11225.0495
Andhra Pradesh,PRAKASAM,Coconut,01-04-2003,Whole Year,200,Hectare,2369640,Nuts,11848.2
Andhra Pradesh,RANGAREDDI,Coconut,01-02-2001,Whole Year,13,Hectare,143260,Nuts,11020
Andhra Pradesh,RANGAREDDI,Coconut,01-03-2002,Whole Year,13,Hectare,148564,Nuts,11428
Andhra Pradesh,RANGAREDDI,Coconut,01-04-2003,Whole Year,11,Hectare,129580,Nuts,11780
Andhra Pradesh,SPSR NELLORE,Coconut,01-02-2001,Whole Year,590,Hectare,6518448,Nuts,11048.21695
Andhra Pradesh,SPSR NELLORE,Coconut,01-03-2002,Whole Year,599,Hectare,6744240,Nuts,11259.16528
Andhra Pradesh,SPSR NELLORE,Coconut,01-04-2003,Whole Year,487,Hectare,5754840,Nuts,11816.91992
Andhra Pradesh,SRIKAKULAM,Coconut,01-02-2001,Whole Year,13645,Hectare,131830848,Nuts,9661.476585
Andhra Pradesh,SRIKAKULAM,Coconut,01-03-2002,Whole Year,13682,Hectare,112823694,Nuts,8246.140477
Andhra Pradesh,SRIKAKULAM,Coconut,01-04-2003,Whole Year,13709,Hectare,136160080,Nuts,9932.167189
Andhra Pradesh,VISAKHAPATANAM,Coconut,01-02-2001,Whole Year,7232,Hectare,56150010,Nuts,7764.105365
Andhra Pradesh,VISAKHAPATANAM,Coconut,01-03-2002,Whole Year,7230,Hectare,30987756,Nuts,4285.99668
Andhra Pradesh,VISAKHAPATANAM,Coconut,01-04-2003,Whole Year,7045,Hectare,45965248,Nuts,6524.520653
Andhra Pradesh,VIZIANAGARAM,Coconut,01-02-2001,Whole Year,3102,Hectare,34298640,Nuts,11056.94391
Andhra Pradesh,VIZIANAGARAM,Coconut,01-03-2002,Whole Year,3169,Hectare,35663076,Nuts,11253.73178
Andhra Pradesh,VIZIANAGARAM,Coconut,01-04-2003,Whole Year,3153,Hectare,37285560,Nuts,11825.42341
Andhra Pradesh,WEST GODAVARI,Coconut,01-02-2001,Whole Year,22287,Hectare,208041750,Nuts,9334.668192
Andhra Pradesh,WEST GODAVARI,Coconut,01-03-2002,Whole Year,22093,Hectare,224101800,Nuts,10143.56584
Andhra Pradesh,WEST GODAVARI,Coconut,01-04-2003,Whole Year,21985,Hectare,226058352,Nuts,10282.39036
Andhra Pradesh,ADILABAD,Coriander,01-02-2001,Whole Year,2076,Hectare,1021,Tonnes,0.491811175
Andhra Pradesh,ADILABAD,Coriander,01-03-2002,Whole Year,1197,Hectare,500,Tonnes,0.417710944
Andhra Pradesh,ADILABAD,Coriander,01-04-2003,Whole Year,1990,Hectare,545,Tonnes,0.273869347
Andhra Pradesh,ANANTAPUR,Coriander,01-02-2001,Whole Year,4741,Hectare,1119,Tonnes,0.236026155
Andhra Pradesh,ANANTAPUR,Coriander,01-03-2002,Whole Year,3914,Hectare,481,Tonnes,0.122892182
Andhra Pradesh,ANANTAPUR,Coriander,01-04-2003,Whole Year,5646,Hectare,610,Tonnes,0.108041091
Andhra Pradesh,CHITTOOR,Coriander,01-02-2001,Whole Year,51,Hectare,18,Tonnes,0.352941176
Andhra Pradesh,CHITTOOR,Coriander,01-03-2002,Whole Year,86,Hectare,24,Tonnes,0.279069767
Andhra Pradesh,CHITTOOR,Coriander,01-04-2003,Whole Year,119,Hectare,31,Tonnes,0.260504202
Andhra Pradesh,EAST GODAVARI,Coriander,01-02-2001,Whole Year,32,Hectare,25,Tonnes,0.78125
Andhra Pradesh,EAST GODAVARI,Coriander,01-03-2002,Whole Year,30,Hectare,17,Tonnes,0.566666667
Andhra Pradesh,EAST GODAVARI,Coriander,01-04-2003,Whole Year,51,Hectare,39,Tonnes,0.764705882
Andhra Pradesh,GUNTUR,Coriander,01-02-2001,Whole Year,115,Hectare,89,Tonnes,0.773913043
Andhra Pradesh,GUNTUR,Coriander,01-03-2002,Whole Year,64,Hectare,35,Tonnes,0.546875
Andhra Pradesh,GUNTUR,Coriander,01-04-2003,Whole Year,195,Hectare,148,Tonnes,0.758974359
Andhra Pradesh,KADAPA,Coriander,01-02-2001,Whole Year,16141,Hectare,4567,Tonnes,0.282944056
Andhra Pradesh,KADAPA,Coriander,01-03-2002,Whole Year,11945,Hectare,2377,Tonnes,0.198995396
Andhra Pradesh,KADAPA,Coriander,01-04-2003,Whole Year,10370,Hectare,2634,Tonnes,0.254001929
Andhra Pradesh,KARIMNAGAR,Coriander,01-02-2001,Whole Year,47,Hectare,23,Tonnes,0.489361702
Andhra Pradesh,KARIMNAGAR,Coriander,01-03-2002,Whole Year,41,Hectare,17,Tonnes,0.414634146
Andhra Pradesh,KARIMNAGAR,Coriander,01-04-2003,Whole Year,119,Hectare,33,Tonnes,0.277310924
Andhra Pradesh,KRISHNA,Coriander,01-02-2001,Whole Year,25,Hectare,19,Tonnes,0.76
Andhra Pradesh,KRISHNA,Coriander,01-03-2002,Whole Year,14,Hectare,8,Tonnes,0.571428571
Andhra Pradesh,KRISHNA,Coriander,01-04-2003,Whole Year,11,Hectare,8,Tonnes,0.727272727
Andhra Pradesh,KURNOOL,Coriander,01-02-2001,Whole Year,25112,Hectare,10271,Tonnes,0.409007646
Andhra Pradesh,KURNOOL,Coriander,01-03-2002,Whole Year,17839,Hectare,5584,Tonnes,0.31302203
Andhra Pradesh,KURNOOL,Coriander,01-04-2003,Whole Year,15401,Hectare,4913,Tonnes,0.319005259
Andhra Pradesh,MAHBUBNAGAR,Coriander,01-02-2001,Whole Year,606,Hectare,298,Tonnes,0.491749175
Andhra Pradesh,MAHBUBNAGAR,Coriander,01-03-2002,Whole Year,549,Hectare,229,Tonnes,0.41712204
Andhra Pradesh,MAHBUBNAGAR,Coriander,01-04-2003,Whole Year,1411,Hectare,387,Tonnes,0.274273565
Andhra Pradesh,MEDAK,Coriander,01-02-2001,Whole Year,3880,Hectare,1909,Tonnes,0.492010309
Andhra Pradesh,MEDAK,Coriander,01-03-2002,Whole Year,3162,Hectare,1322,Tonnes,0.418089817
Andhra Pradesh,MEDAK,Coriander,01-04-2003,Whole Year,3011,Hectare,825,Tonnes,0.27399535
Andhra Pradesh,NALGONDA,Coriander,01-02-2001,Whole Year,695,Hectare,342,Tonnes,0.492086331
Andhra Pradesh,NALGONDA,Coriander,01-03-2002,Whole Year,876,Hectare,366,Tonnes,0.417808219
Andhra Pradesh,NALGONDA,Coriander,01-04-2003,Whole Year,2712,Hectare,743,Tonnes,0.273967552
Andhra Pradesh,NIZAMABAD,Coriander,01-02-2001,Whole Year,532,Hectare,262,Tonnes,0.492481203
Andhra Pradesh,NIZAMABAD,Coriander,01-03-2002,Whole Year,428,Hectare,179,Tonnes,0.418224299
Andhra Pradesh,NIZAMABAD,Coriander,01-04-2003,Whole Year,470,Hectare,129,Tonnes,0.274468085
Andhra Pradesh,PRAKASAM,Coriander,01-02-2001,Whole Year,2993,Hectare,2317,Tonnes,0.774139659
Andhra Pradesh,PRAKASAM,Coriander,01-03-2002,Whole Year,3841,Hectare,2124,Tonnes,0.552980995
Andhra Pradesh,PRAKASAM,Coriander,01-04-2003,Whole Year,6061,Hectare,4588,Tonnes,0.756970797
Andhra Pradesh,RANGAREDDI,Coriander,01-02-2001,Whole Year,343,Hectare,168,Tonnes,0.489795918
Andhra Pradesh,RANGAREDDI,Coriander,01-03-2002,Whole Year,343,Hectare,143,Tonnes,0.416909621
Andhra Pradesh,RANGAREDDI,Coriander,01-04-2003,Whole Year,214,Hectare,59,Tonnes,0.275700935
Andhra Pradesh,SPSR NELLORE,Coriander,01-02-2001,Whole Year,20,Hectare,15,Tonnes,0.75
Andhra Pradesh,SPSR NELLORE,Coriander,01-03-2002,Whole Year,33,Hectare,18,Tonnes,0.545454545
Andhra Pradesh,SPSR NELLORE,Coriander,01-04-2003,Whole Year,145,Hectare,110,Tonnes,0.75862069
Andhra Pradesh,WARANGAL,Coriander,01-02-2001,Whole Year,504,Hectare,248,Tonnes,0.492063492
Andhra Pradesh,WARANGAL,Coriander,01-03-2002,Whole Year,711,Hectare,297,Tonnes,0.417721519
Andhra Pradesh,WARANGAL,Coriander,01-04-2003,Whole Year,718,Hectare,197,Tonnes,0.274373259
Andhra Pradesh,ADILABAD,Cotton(lint),01-02-2001,Kharif,175552,Hectare,270557,Bales,1.541178682
Andhra Pradesh,ADILABAD,Cotton(lint),01-03-2002,Kharif,162008,Hectare,171538,Bales,1.058824256
Andhra Pradesh,ADILABAD,Cotton(lint),01-04-2003,Kharif,145297,Hectare,288030,Bales,1.982353387
Andhra Pradesh,ANANTAPUR,Cotton(lint),01-02-2001,Kharif,8552,Hectare,9055,Bales,1.058816651
Andhra Pradesh,ANANTAPUR,Cotton(lint),01-03-2002,Kharif,7638,Hectare,7144,Bales,0.935323383
Andhra Pradesh,ANANTAPUR,Cotton(lint),01-04-2003,Kharif,4212,Hectare,4262,Bales,1.011870845
Andhra Pradesh,CHITTOOR,Cotton(lint),01-02-2001,Kharif,2,Hectare,2,Bales,1
Andhra Pradesh,EAST GODAVARI,Cotton(lint),01-02-2001,Kharif,6289,Hectare,16425,Bales,2.611702973
Andhra Pradesh,EAST GODAVARI,Cotton(lint),01-03-2002,Kharif,4555,Hectare,8092,Bales,1.77650933
Andhra Pradesh,EAST GODAVARI,Cotton(lint),01-04-2003,Kharif,8969,Hectare,26696,Bales,2.976474523
Andhra Pradesh,GUNTUR,Cotton(lint),01-02-2001,Kharif,126285,Hectare,378112,Bales,2.994116483
Andhra Pradesh,GUNTUR,Cotton(lint),01-03-2002,Kharif,98628,Hectare,186813,Bales,1.894117289
Andhra Pradesh,GUNTUR,Cotton(lint),01-04-2003,Kharif,138925,Hectare,485420,Bales,3.49411553
Andhra Pradesh,KADAPA,Cotton(lint),01-02-2001,Kharif,21579,Hectare,23356,Bales,1.08234858
Andhra Pradesh,KADAPA,Cotton(lint),01-03-2002,Kharif,11500,Hectare,12921,Bales,1.123565217
Andhra Pradesh,KADAPA,Cotton(lint),01-04-2003,Kharif,15784,Hectare,12999,Bales,0.823555499
Andhra Pradesh,KARIMNAGAR,Cotton(lint),01-02-2001,Kharif,80520,Hectare,103729,Bales,1.288238947
Andhra Pradesh,KARIMNAGAR,Cotton(lint),01-03-2002,Kharif,46302,Hectare,71087,Bales,1.535290052
Andhra Pradesh,KARIMNAGAR,Cotton(lint),01-04-2003,Kharif,48689,Hectare,106829,Bales,2.194109552
Andhra Pradesh,KHAMMAM,Cotton(lint),01-02-2001,Kharif,99040,Hectare,208567,Bales,2.105886511
Andhra Pradesh,KHAMMAM,Cotton(lint),01-03-2002,Kharif,70138,Hectare,117172,Bales,1.670592261
Andhra Pradesh,KHAMMAM,Cotton(lint),01-04-2003,Kharif,76338,Hectare,176475,Bales,2.311758233
Andhra Pradesh,KRISHNA,Cotton(lint),01-02-2001,Kharif,35374,Hectare,77615,Bales,2.194125629
Andhra Pradesh,KRISHNA,Cotton(lint),01-03-2002,Kharif,31367,Hectare,57937,Bales,1.847068575
Andhra Pradesh,KRISHNA,Cotton(lint),01-04-2003,Kharif,35436,Hectare,104849,Bales,2.958827181
Andhra Pradesh,KURNOOL,Cotton(lint),01-02-2001,Kharif,82631,Hectare,87006,Bales,1.052946231
Andhra Pradesh,KURNOOL,Cotton(lint),01-03-2002,Kharif,55276,Hectare,49748,Bales,0.899992764
Andhra Pradesh,KURNOOL,Cotton(lint),01-04-2003,Kharif,39274,Hectare,42739,Bales,1.088226307
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),01-02-2001,Kharif,63422,Hectare,77226,Bales,1.21765318
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),01-03-2002,Kharif,43266,Hectare,57518,Bales,1.329404151
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),01-04-2003,Kharif,34979,Hectare,57407,Bales,1.641184711
Andhra Pradesh,MEDAK,Cotton(lint),01-02-2001,Kharif,16399,Hectare,24791,Bales,1.511738521
Andhra Pradesh,MEDAK,Cotton(lint),01-03-2002,Kharif,6960,Hectare,8843,Bales,1.270545977
Andhra Pradesh,MEDAK,Cotton(lint),01-04-2003,Kharif,5761,Hectare,13318,Bales,2.311751432
Andhra Pradesh,NALGONDA,Cotton(lint),01-02-2001,Kharif,113516,Hectare,102832,Bales,0.905881109
Andhra Pradesh,NALGONDA,Cotton(lint),01-03-2002,Kharif,77391,Hectare,67376,Bales,0.870592188
Andhra Pradesh,NALGONDA,Cotton(lint),01-04-2003,Kharif,63615,Hectare,112262,Bales,1.764709581
Andhra Pradesh,NIZAMABAD,Cotton(lint),01-02-2001,Kharif,10931,Hectare,16525,Bales,1.511755558
Andhra Pradesh,NIZAMABAD,Cotton(lint),01-03-2002,Kharif,8746,Hectare,11113,Bales,1.270638006
Andhra Pradesh,NIZAMABAD,Cotton(lint),01-04-2003,Kharif,8588,Hectare,6416,Bales,0.747088961
Andhra Pradesh,PRAKASAM,Cotton(lint),01-02-2001,Kharif,37624,Hectare,62633,Bales,1.664708697
Andhra Pradesh,PRAKASAM,Cotton(lint),01-03-2002,Kharif,24364,Hectare,28377,Bales,1.164710228
Andhra Pradesh,PRAKASAM,Cotton(lint),01-04-2003,Kharif,35815,Hectare,60675,Bales,1.694122574
Andhra Pradesh,RANGAREDDI,Cotton(lint),01-02-2001,Kharif,19452,Hectare,30093,Bales,1.547038865
Andhra Pradesh,RANGAREDDI,Cotton(lint),01-03-2002,Kharif,14141,Hectare,22459,Bales,1.588218655
Andhra Pradesh,RANGAREDDI,Cotton(lint),01-04-2003,Kharif,15368,Hectare,36070,Bales,2.347084852
Andhra Pradesh,SPSR NELLORE,Cotton(lint),01-02-2001,Kharif,6553,Hectare,17115,Bales,2.611780864
Andhra Pradesh,SPSR NELLORE,Cotton(lint),01-03-2002,Kharif,5798,Hectare,10300,Bales,1.776474646
Andhra Pradesh,SPSR NELLORE,Cotton(lint),01-04-2003,Kharif,9993,Hectare,29744,Bales,2.976483538
Andhra Pradesh,SRIKAKULAM,Cotton(lint),01-02-2001,Kharif,1724,Hectare,4503,Bales,2.611948956
Andhra Pradesh,SRIKAKULAM,Cotton(lint),01-03-2002,Kharif,1522,Hectare,2704,Bales,1.776609724
Andhra Pradesh,SRIKAKULAM,Cotton(lint),01-04-2003,Kharif,1711,Hectare,5093,Bales,2.976621859
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),01-02-2001,Kharif,1021,Hectare,2667,Bales,2.612144956
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),01-03-2002,Kharif,859,Hectare,1526,Bales,1.776484284
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),01-04-2003,Kharif,1359,Hectare,4045,Bales,2.976453274
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),01-02-2001,Kharif,15639,Hectare,40845,Bales,2.611739881
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),01-03-2002,Kharif,12397,Hectare,22023,Bales,1.77647818
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),01-04-2003,Kharif,19471,Hectare,26801,Bales,1.376457295
Andhra Pradesh,WARANGAL,Cotton(lint),01-02-2001,Kharif,182478,Hectare,314506,Bales,1.723528316
